nomacheteur,records
Lycée Douanier Rousseau,4
CCAS d'Elbeuf sur Seine,4
CCCE,4
Ville d'Houppeville,4
EPCMDN-Versailles,4
SMT LILA PRESQUILE,4
Syndicat du Bassin Versant du Brivet,4
COMMUNE DE MINIHY TREGUIER,4
SDIS 60 - Sce Dept d'Incendie,4
Services Interhospitaliers d'Armor,4
EPLEFPA Edgard Pisani,4
SEP-RIEP,4
Direction Interrégionale Douanes NAq,4
ccas terres-de-caux,4
Commune de Beauvoir sur Mer,4
SM PREFIF. LITTORAL BAIE MONT ST MICHE,4
MAIRIE DES SORINIERES,4
SAPL DU SUD VILAINE,4
Commune d'Andrésy,4
Sté d'Exploitation de la Tour Eiffel,4
Commune de Saint-Gilles,4
Mairie de GODERVILLE,4
COMMUNE DE GENNES-VAL-DE-LOIRE,4
COMMUNE DE CARENTOIR,4
MAIRIE SAINTE REINE DE BRETAGNE,4
airborne museum,4
S.I.A.E.P. de Conlie,4
SIGE BRAY BRESLE PICARDIE,4
CCAS Nivillac,4
COMMUNE DE LOIR EN VALLEE,4
Campus Sport bretagne,4
SICAB,4
VILLE DE LA HAYE,4
Résidence saint michel,4
Commune de Miré,4
Commune d'Anneville Ambourville,4
Breti Sun ISDND,4
SEM Plaine Commune Développement,4
Commune de Léry,4
CDC Pays Fertois et Bocage Carrougien,4
Commune de BOULLEVILLE,4
COMMUNE DE ROMILLY SUR ANDELLE,4
COMMUNE DE LAIGNE EN BELIN,4
ESID de Metz,4
Commune de LE PALLET,4
SEML ROUTE DES LASERS,4
Gie Cometias,4
mairie d Igoville,4
SIRTOM du Perche Ornais,4
Mairie de Piriac sur Mer,4
Mairie de Courcelles sur seine,4
AgroParisTech,4
MAIRIE DE CHAVAGNE,4
Commune du Relecq-Kerhuon,4
Mairie de Loué,4
CIAS du Haut Pays Bigouden,4
OFFICE DE TOURISME GRANVILLE TERRE MER,4
Commune de St Pierre du Vauvray,4
SMBSEIL,4
SYND SCOL MENESQUEVILLE-TOUFFREVILLE,4
Ville de Pléneuf Val André,4
SA D'HLM LE FOYER D'ARMOR,4
Autoroute de liaison Seine Sarthe,4
COMMUNE DE RUE,4
SMBV de l'Austreberthe et du Saffimbec,4
Commune de Sainte Gemmes sur Loire,4
Commune de Saint Urbain,4
EHPAD Saint Joseph,4
EPIC PARC DE LOISIRS DU LAC DE MAINE,4
Ville de Rives-en-Seine,4
Centre Hospitalier de Beauvais,4
ECOLE NAVALE,4
Lycée professionnel de Rompsay,4
SICTEU Bassin du Sausseron,4
EPMS LA Clairiere,4
Commune de Thiré,4
commune de Loctudy,4
EAUX DE RUFFIN,4
Service d'Information du Gouvernement,4
Commune de VALLONS-DE-L'ERDRE,4
SMLCI,4
GIBA 49,4
COMMUNE SAINT PHILBERT DE GRAND LIEU,4
SM Bassin Versant de la Brèche,4
DIRECTION DES OPERATIONS DE LA DSNA,4
CERIB,4
COMMUNE DE CARPIQUET,4
COMMUNE DE LION-D'ANGERS,4
Mairie de Tancarville,4
EPMP,4
EHPAD La Varenne,4
CRC BRETAGNE NORD,4
MAIRIE DE RENE,4
Commune de Tourch,4
Commune d'Indre,4
MAIRIE DE QUEVEN,4
EHPAD MER ET PINS,4
Commune de Saint Etienne du Bois,4
DELEGATION INTERREGIONALE GRAND-OUEST,4
Communauté de Communes Terroir de Caux,4
CIAS Sud Vendée Littoral,4
CCI DU MANS ET DE LA SARTHE,4
ville chartres-de-bretagne,4
MFR-CFA IFACOM,4
VILLE DE SAINT ANDRE DE L'EURE,4
UIOSS ANGERS,4
VILLE DE BRETIGNOLLES SUR MER,4
SPL GOLFE DU MORBIHAN VANNES TOURISME,4
SIEPA de la Region de Machy,4
COMMUNE DE POUZAUGES,4
COMMUNE DE FRIVILLE-ESCARBOTIN,4
Direction départementale des Finances,4
Résidence du Parc,4
Mairie de La Haye-Malherbe,4
Syndicat d'Eau de l'Anjou,4
Lycée Rosa Parks,4
CIAS Ploërmel Communauté,4
CARIFOREF,4
CPAM DU MORBIHAN,4
Société Portuaire de Brest Bretagne -SPBB,4
Mairie Gournay-En-Bray,4
Commune de Saint Philbert de Bouaine (85),4
Commune d'Auvers le Hamon,4
Sea De La Paquetterie,4
COMMUNAUTE DE COMMUNES DU PAYS DE PONTCHATEAU ST GILDAS DES BOIS,4
Comité consultatif interdépartemental de règlement amiable des litiges CCIRA de Nantes,4
SAINT-BRIEUC ARMOR AGGLOMERATION,4
Collectivités territoriales,4
IA-GIPAFOC,4
Alter Public au nom et pour le compte d'Angers Loire Métropole.,4
Commune de Montaigu-Vendée (85),4
"GRAND PORT MARITIME DE NANTES SAINT-NAZAIRE, Service Achat",4
Tribunal Administratif de Rouen,4
COMMUNE DE PORNIC,4
CCI Région Normandie,4
Syndicat Départemental d'Energie 29,4
COMMUNAUTE DE COMMUNES DU PAYS DE CONCHES,4
Centre hospitalier de Cornouaille,4
Etablissement national des invalides de la marine,4
Commune de Saint Colomban (44),4
Pouvoir adjudicateur,4
Commune du Saint-Avé,4
Groupement de commande commune et CCAS de Bolbec,4
Communauté de communes Val ès dunes,4
Communaute De Communes Du Pays De Conches,4
Le Plongeoir - Cité du Cirque,4
COMPAGNIE DES PORTS DU MORBIHAN (SAPL),4
Centre Communal d'Actions Sociales,4
PLATE-FORME COMMISSARIAT OUEST (RENNES),4
Bailleur social,4
Hôtel de ville,4
Mairie de Saint Herblain,4
Chambre de commerce et d'industrie métropolitaine Bretagne ouest,4
NORMANDIE AXE SEINE,4
"GRAND PORT FLUVIO-MARITIME DE L'AXE SEINE - DIRECTION
TERRITORIALE DU HAVRE",4
Service Départemental d'Incendie et de Secours de la Mayenne,4
SOCIETE PORTUAIRE BREST BRETAGNE,4
Angers Loire Metropole (49) Direction Eau et Assainissement,4
École Centrale de Nantes,4
CIAS Terres de Montaigu (85),4
GIE NGE,4
Chambre de Commerce et d'Industrie de région Hauts-de-France,4
Aéroports de Bretagne Ouest,4
SM Ports Pêche-Plaisance Cornouaille,4
"Direction Régionale de l'Environnement, de l'Aménagement et du Logement de Bretagne",4
Ecole des hautes études en santé publique,4
Universite Bretagne Sud,4
Service public de production et de distribution d'eau potable,4
Association Warren J. Kennedy,4
Mairie de Ploemeur,4
Commune de Sainte Luce sur Loire,4
Urssaf Bretagne,4
Service d'administration générale d'une commune,4
GRAND PORT FLUVIO MARITIME DE L'AXE SEINE,4
CHU de CAEN Normandie,4
HAUT-LEON COMMUNAUTE,4
Brest metropole,4
ONIRIS Ecole nationale vétérinaire agroalimentaire et de l'alimentation Nantes Atlantique,4
Département de Loire-Atlantique,4
COMMANDE PUBLIQUE SURESNES,4
EMA/DCSSA/DAPSA,4
PETR Pays Vallée du Loir,4
Commune de Petit-Mars,4
ARS Normandie,4
Cc Loir Lucé Bercé,4
Mairie St Julien de Concelles,4
DGAC/DSNA/DSR/SDFI/DSA/Pôle achats Athis,4
"GRAND PORT MARITIME DE NANTES SAINTNAZAIRE, Service Achat
Siret : 77560485300041
18, quai Ernest Renaud - Nantes 44186
http://www.nantes.port.fr/marchespublics",4
GIP MILLENAIRE Caen 2025,4
Assainissement,4
SERVICE PUBLIC DE L EAU AN DOUR,4
Siaep de la Région de Vive Parence,4
COMMUNAUTE DE COMMUNES DES PAYS DE L'AIGLE,4
CNFPT - Direction de l'achat public,4
"Syndicat Mixte du Point Fort
Hôtel Bled
50620 CAVIGNY",4
CONSEIL DEPARTEMENTAL DE L'ORNE,4
Breizhmer,4
Administration générale,4
ENSAB,4
Etablissement Public du Mont Saint Michel,4
SCOM de l'Est Vendéen (85),4
ESID Brest,4
Syndicat Mixte d'Aménagement et de Gestion des Eaux des 2 Morin,4
COMMUNE DE MOREAC,4
Commune de Précigné,4
Chambre de commerce et d'industrie Finistère,4
Commune de Saint-pierre-en-auge,4
Ecole nationale supérieure maritime,4
Ville de BRICQUEBEC-EN-COTENTIN,4
Transport,4
Syndicat Mixte du Marais Poitevin Bassin du Lay (85),4
Agence Nationale de Traitement Automatisé des Infractions,4
Centre de Gestion de la Fonction Publique Territoriale de la Vendée (85),4
UGECAM DE NORMANDIE,4
SAS AVENSIA agissant au nom et pour le compte de l'ESID de Rennes,4
SASU FNCCR,4
EPMS LE LITTORAL,4
Commune de Mareuil sur Lay Dissais (85),4
IMT Atlantique Bretagne - Pays de la Loire,4
PFC OUEST,4
Caf de Seine Maritime,4
Saep Du Lpo,4
Département cotes d'armor,4
Commune d'Ablis,4
Centre de Gestion de la fonction publique territoriale de Loire-Atlantique,4
Mairie de Gamaches-en-Vexin,4
SDIS 53,4
CENTRE HOSPITALIER DU MANS - Ets support GHT 72,4
Societe Publique Locale D Alencon,4
DRAC des Pays de la Loire,4
INESAAE - L'Institut Agro,4
Commune de La Bazoge,4
"CHU de Nantes, représenté par la Soderec",4
PFC EST,4
REGION DE GENDARMERIE DE BRETAGNE,4
Théâtre de LAVAL,4
Saintes Grandes Rives - L'Agglo,4
Siaepa De La Vallee De L'Eaulne,4
Commune de Château Gontier sur Mayenne (53),4
Communauté de communes de la Champagne Conlinoise et du Pays de Sillé  (4CPS),4
SEMBREIZH au nom et pour le compte de la Région Bretagne,4
"Brest Métropole aménagement SPL, agissant au nom et pour le compte de la ville de Brest",4
"MINARM/SCA/PFC BREST
BCRM de BREST
CC 20
Brest cedex 9",4
Commune de Mouilleron Le Captif (85),4
Communauté de communes du Cap Sizun – Pointe du Raz,4
Atlanticeau,4
FOUGERES HABITAT,4
Cci du Morbihan,4
CENTRE HOSPITALIER de EU,4
MAIRIE DE MORTEAUX-COULIBOEUF,4
Cherbourg Port de Pêche,4
Communauté de Communes AURAY QUIBERON TERRE ATLANTIQUE,4
Conseil Régional,4
"Caisse d'Allocations familiales de Loire-Atlantique
22 rue de Malville
44937 Nantes cedex 9",4
Ville de Saint-Sébastien-sur-Loire,4
Lycée Claude MONET,4
"EPF DE LA VENDEE
123 boulevard Louis Blanc
85000 LA ROCHE SUR YON",4
Parc Naturel Régional des Boucles de la Seine Normande,4
VILLE DE QUIMPER,4
Commune de Machecoul-Saint-Même (44),4
SPL LES ATELIERS DES CAPUCINS,4
Commune de Rugles,4
CA CLISSON SEVRE ET MAINE AGGLO,4
MINARM,4
Roche aux Fées communauté,4
PFRA Normandie,4
Syndicat Eau des Portes de Bretagne,4
Chambre de Commerce et d'Industrie Nantes Saint-Nazaire,4
Commune de DURTAL,4
Loire Atlantique Nautisme,4
Urssaf bretagne,4
Ville de Mûrs Erigné (49),4
Grand port maritime,4
SEMBREIZH Agissant au nom et pour le compte du Département des Côtes d'Armor,4
LOGEMENT FAMILIAL DE L'EURE,4
Etablissement public foncier de Loire-Atlantique,4
Hotel De Ville,4
Syndicat des Eaux du Bocage Virois,4
Commune de Coray,4
"Conseil départemental de l'Orne
Secrétariat général
Direction des Achats et de la logistique",4
URSSAF PAYS DE LA LOIRE,4
GIE IMSA,4
COMMUNE DE HOUPPEVILLE,4
Centre INRAE Bretagne-Normandie,4
CCI Nantes St-Nazaire,4
SITCOM REGION D'ARGENTAN,4
"GROUPEMENT DE SERVICES ""Commandes groupées"" Lycée André MAUROIS",4
Caisse des écoles,4
Syndicat Mixte de Valorisation des Déchets des Pays de Rance et de la Baie (SMPRB),4
Mairie De Montauban De Bretagne,4
Epcc Les Quinconces & L'Espal,4
"Groupement TRANSAMO / LA SET, agissant au nom et pour le compte du Syndicat des mobilités de Touraine (SMT), maître d'ouvrage",4
"Groupement TRANSAMO / La SET, agissant au nom et pour le compte du Syndicat des mobilités de Touraine (SMT), maître d'ouvrage",4
Commune De Beuzeville,4
Conseil Département du Calvados,4
Communauté de Communes de Belle Ile en Mer,4
Conseil départemental de l'Orne secrétariat général Direction des Achats et de la logistique,4
Communauté d'Agglomération Vitré Communauté,4
CIAS du Pays de Saint Gilles Croix de Vie (85),4
Commune de Coudrecieux,4
Syndicat Grand Lieu Estuaire,4
GIP GREDHA (Groupement Régional des Pays de la Loire pour l'Elimination des Déchets Hospitaliers et Assimilés),4
Conseil départemental du Calvados,4
Ccas D'Alençon,4
MASH (Mutualisation d'Achat au Service de l'Habitat),4
Communauté de communes du Pays de Pont-Château - St Gildas des Bois,4
SPL Destination Saint-Malo Baie du Mont-Saint-Michel,4
Armorique Habitat,4
CPAM DE LOIRE-ATLANTIQUE,4
CCIT OUEST NORMANDIE,4
CC DU GRAND CHATEAUDUN,4
SA D'HLM BSB-LES FOYERS,4
Ville d'Indre (44),4
Communauté de Communes du Bocage Mayennais (53),4
Commune de Thiberville,4
CA FOUGERES AGGLOMERATION,4
Communauté de Communes Anjou Loir et Sarthe,4
Brest en vue GIE,4
E-TOILE Coordonnateur groupement comm,4
UIOSS Loir-et-Cher,4
COMMUNE DE CHOLET,4
Crous de Nantes,4
Commandement du soutien opérationnel de la gendarmerie nationale (COMSOPGN),4
Caf de Loire-Atlantique,4
VALLONS DE HAUTE BRETAGNE COMMUNAUTE,4
SID NO,4
Commune de Houppeville,4
REGIE MALOUINE DE L&#039;EAU,4
CHAMBRE DE COMMERCE ET DE L'INDUSTRIE DE VENDEE,4
Commune de Mesnil-Roc&#039;h,4
"MINARM/SGA/DCSID/SID ATL (Ministère des Armées/Secrétariat Général pour l'Administration/Direction
Centrale du Service d'Infrastructure de la Défense/SID Atlantique)",4
CIAS à l&#039;Ouest de Rennes,4
CHAMBRE DE COMMERCE ET DE L'INDUSTRIE,4
MRN - Entité EPMD,4
COMMUNE DE SAINT HILAIRE DE RIEZ,4
Groupement d'Intérêt Public Le Havre Croisieres,4
Syndicat des Eaux de Beaufort,4
SERVICE D'INCENDIE ET DE SECOURS DU CALVADOS (SDIS14),4
ASNR.,4
EPCC DOMAINES ET MUSEES DEPARTEMENTAUX CHEMINS DU PATRIMOINE EN FINISTERE,4
Institut 4.10,4
le mans université,4
État - Ministère de l'Économie et des Finances,4
SETOM DE L&#039;EURE,4
CHU de BREST,4
Commune du Grand-Lucé,4
Syndicat intercommunal d'énergies de Maine-et-Loire (Siéml),4
COMMUNAUTÉ DE COMMUNES LOIRE LAYON AUBANCE,4
COMMUNAUTE DE COMMUNES ILE DE RE,4
DEPARTEMENT DU CALVADOS (CD 14),4
VILLE DE POITIERS,4
HOPITAL LOCAL SAINT ALEXANDRE,3
Communauté de communes de Bény-Bocage,3
Ville de Saint Sylvain d'Anjou,3
Ville de Garennes sur Eure,3
Centre Normand de Formation et de Perf,3
EURE TOURISME,3
COMMUNE DE TRUN,3
Syndicat des eaux de Landal,3
hopital local Loire et Sillon,3
GIP ECOLE NAVALE,3
Département de la Seine Maritime,3
Commune de plouha,3
mairie de Theix,3
syndicat Mixte Valor3e,3
HOPITAL SAINT NICOLAS,3
HOPITAL LOCAL DE PACY SUR EURE,3
Groupement d'Intérêt Public Seine-Aval,3
Dinan CODI Habitat,3
EHPAD Ernest Guérin,3
Commune de Ferrières en Bray,3
SEM LIGER,3
Résidences Mareva 56000 Vannes,3
CAF de la Mayenne,3
centre hospitalier asselin hedeliin,3
SIDOM,3
CLIMABYSS (GDF SUEZ Energie Services),3
DDTM 76,3
com com des portes nord ouest de rouen,3
CCAS de QUESTEMBERT,3
MAIRIE LES EPESSES,3
SIVOS EPEVICROS,3
SENAT,3
MAIRIE DE GUILERS,3
GIP Le Concordia,3
C.R.O.U.S. de l'Académie de Créteil,3
Ville de pont de l'arche,3
Ville d'Etrépagny,3
Commune des Brouzils,3
Commune de PREAUX,3
SA HLM Coutances Granville,3
Commune de Port-Mort,3
Service Commun des Laboratoires,3
commune des Rairies,3
Communauté urbaine de cherbourg,3
C C R S E,3
Ville de Tourcoing,3
MINDEF / DGA / DT / SCAT Cazaux,3
Hopital Local de La Loupe,3
"CIAS Pleyben, EHPAD Yan d'Argent",3
MINDEF/SGA,3
Syndicat du bassin versant Seiche,3
FDAAPPMA76,3
Commune de Saint Cosme-en-Vairais,3
Mairie de Vironvay,3
Syndicat Mixte Plateau Caux Maritime,3
G.H. Villemin-Paul Doumer,3
Centre Hospitalier de Lamballe,3
SIAEP DU JALAIS,3
CCAS de TOURLAVILLE,3
CRF BRETAGNE,3
POUANCE,3
Syndicat Mixte de la Perrelle,3
Communauté de communes de Montrevault,3
Commune de Saint Augustin des Bois,3
commune de Chantonnay,3
MAIRIE DE FAY DE BRETAGNE,3
Commune des Essarts,3
commune de guipry,3
Centre communal d'action sociale,3
CCAS d'Hérouville Saint-Clair,3
Rouen Seine Aménagement,3
MAIRIE DE GRAND-CHAMP,3
Ville de Doué la Fontaine,3
CNAC La Brèche,3
HOPITAL CARENTAN,3
CDC Pays de l'Orbiquet,3
SIAEP DE L'AUNAY-LA TOUCHE,3
EHPAD MEN GLAZ,3
Mairie de PONT-SCORFF,3
COMMUNE DE SAINT-THURIEN,3
SMBVT,3
EHPAD La Reynerie,3
Commune de Saint Florent le Vieil,3
Ville de Bois le Roy,3
Commune de Châteauneuf-en-Thymerais,3
RESEAU TELESANTE BRETAGNE,3
CCKB,3
COMMUNE DE VUE,3
Ville de Châteaugiron,3
SYAC ST GERMAIN SUR AVRE,3
MINDEF/EMA/DCDIRISI/CNSO,3
LYCEE ROBERT SCHUMAN,3
CTE DE COMMUNES PLANCOET PLELAN,3
COMMUNE DE SAINTE HERMINE,3
CABALOR,3
Mairie de Dives-sur-Mer,3
ASSOCIATION AGRIAV,3
CENTRE NATIONAL DES VARIETES,3
Centre de Gestion de la FPT 76,3
D.D.T.M. du Morbihan,3
Office National des Forêts,3
SPL PAR,3
maison de retraite de brionne,3
Commune de PLOURAY,3
Communauté de communes du Val de saire,3
CCAS de Gournay-en-Bray,3
SAELSI,3
ASSOCIATION RESTOFIP DINAN,3
SIAEPA de Bray Sud,3
EHPAD Fondation Beaufils,3
Ecole Nationale d'Ingénieurs de Brest,3
CIAS du BLAISOIS,3
MINDEF/SGA/DCSID/ESID.TOULON,3
C.C.A.S. NIEUL LE DOLENT,3
Commune de BLACQUEVILLE,3
COMMUNE DE GOMMERVILLE,3
EHPAD le village du porhoët,3
SIVOS D'IVILLE,3
COMMUNE DE LANDEHEN,3
Commune de Reville,3
ESAM CAEN/CHERBOURG,3
SM ST QUAY PORTRIEUX PORT D'ARMOR,3
commune LA TURBALLE,3
Synd Mixte Production Eau de Quimperlé,3
Cté de Cnes de Blangy-sur-Bresle,3
Communauté Communes Forges-les-Eaux,3
Ville de Pauillac,3
Commune d'Octeville-sur-Mer,3
hopital,3
COMMUNE D'AUFFAY,3
CRAC de Basse-Normandie,3
maison de retraite de Pont Authou,3
residence saint michel,3
SYNDICAT DE VOIRIE DE PLESTIN PLOUARET,3
SOCOFIT,3
SIAEP BRAINS SOULIGNE,3
SIAEP de Rhuys,3
"Syndicat Pays d'Avre, d'Eure et d'Iton",3
CDG de la FPT de l'Orne,3
Syndicat mixte du Pays de Luçon,3
SIAEP de Rochereau,3
COMMUNE DE CHAIGNES,3
Ville de Mitry-Mory,3
CCAS de La Ferrière,3
SIAEPA de Saint Romain de Colbosc,3
COMMUNE DE SAINT-ARNOULT,3
Mairie de MONTAIGU,3
Commune de Quiberon,3
CdC du canton d'etrepagny,3
SIS Criquetot /Ouville-l'Abbaye,3
Département des Bouches du Rhône,3
CEGVS,3
FOYER-LOGEMENT EHPAD 'LES MIMOSAS',3
COMMUNE DE ROMILLE,3
SAEPA de Grigneuseville,3
MAIRIE DE COSSE-LE-VIVIEN,3
CCAS de Trélazé,3
Syndicat d'assainissement des Sablons,3
SIVOS du Havre de Vie,3
II du Bassin de La Sienne,3
Centre Gériatrique Desaint-Jean,3
SYNDICAT INTERCOMMUNAL DU PORT DU BELO,3
SM FONTENAY SUD VENDEE DEVELOPPEMENT,3
Syndicat Mixte du Marais des Olonnes,3
Syndicat Mixte Aéroportuaire,3
Hopital Intercommunal Sèvre et Loire,3
Verrières en Anjou,3
SIAEPA DE NESLE PIERRECOURT,3
Commune de Dampierre en Bray,3
COM DE COMMUNES MOYENNE VILAINE SEMNON,3
LYCEE GENERAL ET TECHNOLOGIQUE LIVET,3
Commune de Plouescat,3
Ville de Bezu Saint Eloi,3
COMMUNE DE FALLERON,3
Institut public la Persagotière,3
Commune de Dompierre sur Yon,3
Mairie de St Pol de Léon,3
HOPITAL LOCAL DE NOIRMOUTIER,3
MINDEF/SGA/SID/DID Cayenne,3
ETS ET SCE D AIDE PAR LE TRAV PUB DEP,3
COMMUNE DE SAINT THURIAL,3
SM DU BSN VERSANT DE L ILLE ET ILLET,3
CARENTAN-LES-MARAIS,3
SIAEP DE LA REGION DE BOULOIRE,3
SIPAEP de Beuzeville,3
MINDEF/DGA,3
Commune de NEVEZ,3
COMMUNE DE PLOMELIN,3
COMMUNE DE BATZ SUR MER,3
SEMADER,3
COMMUNE D AYRON,3
commune de Locmaria-Plouzané,3
maison de retraite de Montreuil-bellay,3
Ministère de la justice - DISP Paris,3
COMMUNE DE DINEAULT,3
MAIRIE DE LA VAUPALIERE,3
SYND MIXTE RENFORCEMENT EAU POTABLE SU,3
COMMUNE DE SAINT AIGNAN GRANDLIEU,3
COMMUNE DE LE BAILLEUL,3
CIAS DE CREANCES LESSAY,3
MAISON D ARRET DE ROUEN,3
DRFiP Nord,3
CTRE ACCUEIL MEDICO EDUCAT SPECIALISE,3
Centre Hospitalier Layon-Aubance,3
COMMUNE DE FALAISE,3
SYND INTER COM ASSAI REGION THOIRY,3
Préfet de la région Centre,3
SAEPA de la Région de Connerré,3
MAIRIE DE SEGRIE,3
Finistère Tourisme,3
SYNDICAT INTERCOMMUNAL RESTAURATION,3
OFFICE DE TOURISME DE L'AGGLO HAVRAISE,3
Ville de Martigné-Ferchaud,3
Syndicat intercommunal des Eaux,3
COMMUNE DE FONTENAY,3
MEDUANE HABITAT,3
Coop HLM Habitat Réuni,3
Commune Saint Gildas de Rhuys,3
Maison de retraite d'Harcourt,3
SYNDICAT MIXTE PORT DE PECHE,3
COMMUNE DE SOLESMES,3
COMMUNE DE LA VERRIE,3
Conseil général des Hauts-de-Seine,3
Mairie d'Héronchelles,3
Commune de Conlie,3
UIOSS BLOIS,3
Commune d'Ymare,3
COMITE REG DE TOURISME DE NORMANDIE,3
Association AGRIP,3
Université d'Orléans,3
Com. Cnes du Pays d'Issoudun,3
Ville d'Issoudun,3
COMMUNE DE DIVATTE-SUR-LOIRE,3
COMMUNE DE LOURESSE ROCHEMENIER,3
CMAI-Calvados-Orne,3
Résidence Andrée Rochefort,3
Mairie de Chavoy,3
Maison Familiale de Loire Atlantique,3
Commune de ROTS,3
Commune de Campbon,3
COMMUNE DE NORMANVILLE,3
CC DES COLLINES DU PERCHE NORMAND,3
COMMUNE DE LES GARENNES SUR LOIRE,3
ASS REG INSTITUTS FORM TRAV SOC PAYS L,3
COMMUNE DE SAINT AUBIN SUR MER,3
13eBSMAT Détachement de Moulins,3
Ministère de l'Intérieur,3
LA FAB DE PATRIMOINES EN NORMANDIE,3
COMMUNE DE ROHAN,3
COMMUNE DE BELLEVIGNE EN LAYON,3
CCI FINANCE,3
COMMUNE DE DOUDEVILLE,3
PREFECTURE DE LA MANCHE,3
Commune de Val de Saâne,3
CENTRE HOSPITALIER DE LA COTE FLEURIE,3
COMMUNE DE THIBERVILLE,3
sergep,3
Syndicat du Bassin Versant du Don,3
EHPAD VILLECARTIER,3
ville de Bonnetable,3
INSTITUT FRANCAIS DES PROD CIDRICOLES,3
COMMUNE DE SAINT REVEREND,3
COMMUNE DE GRAND BOURGTHEROULDE,3
COMMUNE DE GUEMENE SUR SCORFF,3
CC DES VALLEES DE LA BRAYE ET ANILLE,3
Commune du Mesnil le Roi,3
COMMUNE DE LA CHAPELLE EN SERVAL,3
OT MONT SAINT MICHEL - NORMANDIE,3
SI DU CEG DE VILLERS BOCAGE,3
COMMUNE DE BEAUFICEL EN LYONS,3
Commune de Jard sur Mer,3
COMMUNE DE VAAS,3
COMMUNE DE CESSEVILLE,3
COMMUNE DE TREDREZ LOCQUEMEAU,3
DIR INTERREGIONALE MER MANCHE EST MER,3
Direction interrégionale des douanes,3
COMMUNAUTE D AGGL VITRE COMMUNAUTE,3
CCI des Iles de Guadeloupe,3
SIAEPA de la Région de Montville,3
COMMUNE DE VITRE,3
DIR DEP FIN PUBLIQUES COTES D ARMOR,3
INSTITUT NAT HYGIENE NETTOYAGE IND,3
Ville de Riaillé,3
SEMAVO,3
PETR de la baie du Mont-Saint-Michel,3
Le Voyage à Nantes,3
COMMUNE DE FONTAINE LE BOURG,3
EHPAD LE VILLAGE DES AUBEPINS,3
SIAEPA de saint leger aux bois,3
COMMUNE DE CLEF VALLEE D EURE,3
COMMUNE DE TRANS SUR ERDRE,3
FUTURE MANUFACTURING,3
COMMUNE DE MARTOT,3
SCI SWEET HOME,3
CCAS PORT EN BESSIN-HUPPAIN,3
Ville d'Arthon en Retz,3
COMMUNE DE ECOUCHE LES VALLEES,3
Agglomération Seine-Eure 14,3
Ville de Coulans sur Gee,3
Monsieur,3
COMMUNE DE COUDRES,3
MAIRIE DE SPAY,3
SCE CONSEIL EXPERTISES TERRITOIRES,3
Ville d'Epone,3
Mairie de Sées,3
FINISTERE 360 Tourisme Nautisme,3
COMMUNE DE LAMPAUL GUIMILIAU,3
ALICORNE,3
CTE ORGAN LILLE METROPOLE CAPITALE MON,3
association songo,3
EHPAD LE MOULIN DES PRES,3
SI DE LA RIVIERE D EURE 2EME SECTION,3
SI ADDUCTION EAU ASSAIN VAL L EAULNE,3
base aérienne 105,3
DIRECCTE Bretagne,3
CCAS de Sèvremont,3
SYNDICAT DE LA LOIRE AVAL,3
SM DES COMMUNES RIVERAINES DE L HUISNE,3
COMMUNE DE ORBEC,3
COMMUNE DE PIROU,3
Comité Régional Conchylicole NMN,3
SYND INTERCOMMUNAL VOCATION MULTIPLE L,3
NORMANDIE PARTICIPATIONS,3
SYND INTERCOMMUNAL VOCATION UNIQUE TRP,3
Ville de Craon,3
Syndicat Layon Aubance Louets,3
CMAI Calvados-Orne,3
COMMUNE DE SAINT JEAN D ASSE,3
Ville de Libourne,3
INERIS,3
SI DE LA BASSE VALLEE DE LA RISLE,3
Commune de Mesnils sur Iton,3
PREFECTURE DE LA SARTHE,3
COMMUNE DE DEAUVILLE,3
CAISSE ALLOCATION VIEILLESSE NOTAIRE,3
COMMUNE DE LES CLAYES SOUS BOIS,3
commune de LA BAZOCHE-GOUET,3
CTRE COM ACTION SOC ST REMY SUR AVRE,3
mairie d'Aigneville,3
Commune de septeuil,3
Commune de Plourin,3
commune de SAINT GERAND,3
GIP INFORMATIQUE DES CENTRES DE GEST,3
COMMUNE DE CARENTAN LES MARAIS,3
Commune de saint dolay,3
La Fabrique de Patrimoines en Normandi,3
CREHA Ouest,3
COMMUNE DE HUELGOAT,3
GIP Blanchisserie du Bessin Pays Falai,3
Mairie de Corcoué sur Logne,3
Commune de Nointot,3
Mairie de SAINT PATERNE-LE CHEVAINE,3
Commune de Savennières,3
RENNES METROPOLE,3
COMMUNE DE MESNIL LE ROI,3
ALOEN,3
commune de Val-Couesnon,3
AGCE PUB POUR L IMMOB DE LA JUSTICE,3
Résidence de La Rochefoucauld,3
UNIVERSITE DE LILLE,3
MAIRIE D'AYTRE,3
Commune de SENONCHES,3
SIEDS,3
ESH LES FOYERS NORMANDS,3
LEGION GENDARMERIE DEP HAUTE NORMANDIE,3
SYDELA ENERGIE 44,3
Les Hauts-d'Anjou,3
CENTRE HOSPITALIER GENERAL DE CHARTRES,3
COUR D'APPEL DE CAEN,3
Syndicat Mixte Littoral Normand,3
MINISTERE DE LA JUSTICE,3
Pole Régional du Handicap,3
Sembreizh société,3
EHPAD RESIDENCE LA VALLEE,3
DIR REG INTERDEPARTEMENTALE ENVIR ENER,3
Lycee General Andre Maurois,3
EHPAD LE MANOIR,3
Caisse des Ecoles des Mureaux,3
Ferme Experimentale Laitiere Des Trino,3
